은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,2.87,2.96,3.43,4.21,5.48,3.60,
BNK부산은행,대출금리,2.97,3.16,3.52,4.04,5.95,3.45,
DGB대구은행,대출금리,2.65,3.09,3.50,4.01,4.33,3.44,
IBK기업은행,대출금리,2.70,3.07,3.28,3.43,3.33,3.15,
KB국민은행,대출금리,2.80,3.09,3.25,4.59,5.08,3.34,
KDB산업은행,대출금리,2.30,2.34,2.64,4.36,4.01,3.57,
NH농협은행,대출금리,2.90,2.94,3.21,3.84,4.23,3.35,
SH수협은행,대출금리,3.50,3.50,3.91,3.60,6.53,3.70,
광주은행,대출금리,3.22,3.62,3.94,4.23,4.65,3.81,
스탠다드차타드은행,대출금리,-,2.82,2.88,3.02,3.10,2.94,
신한은행,대출금리,2.93,3.24,3.53,4.58,4.83,3.41,
우리은행,대출금리,2.67,3.07,3.49,4.35,5.34,3.38,
전북은행,대출금리,3.51,3.64,3.72,4.07,3.88,3.71,
제주은행,대출금리,3.54,3.51,3.79,4.27,4.90,3.81,
하나은행,대출금리,2.96,3.11,3.33,3.83,4.60,3.35,
한국씨티은행,대출금리,2.97,3.08,3.07,3.79,3.50,3.28,7-10등급:FTP 여신
