은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,2.30,2.64,2.88,3.08,4.81,2.97,
BNK부산은행,대출금리,2.50,2.81,2.85,3.33,4.80,2.84,
DGB대구은행,대출금리,2.23,2.56,3.06,3.45,3.87,2.99,
IBK기업은행,대출금리,2.25,2.55,2.75,2.90,2.75,2.62,
KB국민은행,대출금리,2.44,2.73,3.00,4.35,4.47,2.96,
KDB산업은행,대출금리,1.96,1.90,1.93,2.80,2.45,2.08,
NH농협은행,대출금리,2.56,2.69,2.88,3.39,4.18,2.85,
SH수협은행,대출금리,2.98,3.10,3.49,3.20,5.14,3.20,
광주은행,대출금리,3.15,3.13,3.29,3.71,3.62,3.32,
스탠다드차타드은행,대출금리,-,2.47,2.34,2.55,2.59,2.46,
신한은행,대출금리,2.43,2.66,2.93,3.77,3.98,2.80,
우리은행,대출금리,2.35,2.55,2.90,3.86,3.88,2.77,
전북은행,대출금리,2.93,3.29,3.16,3.51,3.47,3.18,
제주은행,대출금리,2.88,3.03,3.38,4.34,3.57,3.36,
하나은행,대출금리,2.46,2.49,2.69,3.05,4.21,2.77,
한국씨티은행,대출금리,2.45,2.57,2.61,3.34,-,2.68,
