은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.89,3.87,4.71,6.11,5.37,4.17,
BNK부산은행,대출금리,3.37,3.81,4.16,5.12,6.52,3.78,
DGB대구은행,대출금리,3.70,4.11,4.75,6.38,9.54,4.90,
IBK기업은행,대출금리,3.76,4.47,6.03,9.24,8.39,5.35,
KB국민은행,대출금리,3.24,4.16,5.80,9.48,8.42,4.91,
KDB산업은행,대출금리,2.61,3.06,3.66,6.18,7.52,3.48,
NH농협은행,대출금리,3.25,3.91,5.48,6.81,10.01,3.68,
SH수협은행,대출금리,3.85,4.85,4.03,8.36,13.88,4.66,
광주은행,대출금리,4.23,4.48,5.00,6.56,7.40,5.16,
스탠다드차타드은행,대출금리,-,2.22,-,-,4.21,3.44,
신한은행,대출금리,2.95,3.30,4.36,8.55,7.12,4.12,
우리은행,대출금리,2.87,3.46,4.59,9.39,12.27,4.35,
전북은행,대출금리,4.69,5.65,6.66,10.45,13.80,6.54,
제주은행,대출금리,3.45,3.89,4.83,8.55,4.92,4.48,
하나은행,대출금리,2.92,3.29,4.11,6.73,12.03,3.62,
한국씨티은행,대출금리,3.63,3.88,4.34,-,4.73,4.51,
