은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.22,3.56,4.06,5.22,5.80,3.74,
BNK부산은행,대출금리,3.62,4.51,4.75,5.39,7.64,4.36,
DGB대구은행,대출금리,3.90,3.99,4.68,5.85,9.06,4.69,
IBK기업은행,대출금리,3.55,4.43,5.94,8.77,6.80,5.07,
KB국민은행,대출금리,2.73,3.99,5.56,8.90,7.67,4.52,
KDB산업은행,대출금리,2.86,3.41,4.04,6.11,9.91,3.54,
NH농협은행,대출금리,3.32,3.77,5.04,7.21,10.03,4.89,
SH수협은행,대출금리,3.79,4.89,5.20,6.79,7.71,4.79,
광주은행,대출금리,3.97,4.05,5.03,5.55,6.34,4.61,
스탠다드차타드은행,대출금리,-,-,-,-,4.60,4.93,
신한은행,대출금리,3.05,3.25,4.56,8.25,8.44,4.17,
우리은행,대출금리,3.22,3.82,4.77,10.15,9.95,4.66,
전북은행,대출금리,4.84,4.93,6.07,10.18,12.59,6.08,
제주은행,대출금리,4.00,4.21,5.43,8.41,13.50,4.56,
하나은행,대출금리,3.11,3.35,4.04,5.37,6.93,3.45,
한국씨티은행,대출금리,3.70,3.72,3.90,-,3.53,4.01,2022.02.15 부터 개인사업자 및 법인(매출액100억이하) 앞 신규 중단.
