일자,종목코드,종목명,종가,대비,시가,고가,저가,정산가,거래량,거래대금,미결제약정
"2022/04/07 (주간)","101S6000","코스피200 F 202206","358.00","-3.35","358.30","358.70","357.40","0.00","42018","3760786.0","256869"
"2022/04/06 (주간)","101S6000","코스피200 F 202206","361.35","-3.95","361.80","363.00","360.65","361.35","196363","1.775512E7","253366"
"2022/04/05 (주간)","101S6000","코스피200 F 202206","365.30","-0.20","366.20","367.10","363.75","365.30","162807","1.4851131E7","254414"
"2022/04/04 (주간)","101S6000","코스피200 F 202206","365.50","2.00","361.90","365.50","360.70","365.50","164502","1.495504E7","258073"
"2022/04/01 (주간)","101S6000","코스피200 F 202206","363.50","-2.20","364.10","364.50","361.50","363.50","181648","1.6488791E7","253026"
"2022/03/31 (주간)","101S6000","코스피200 F 202206","365.70","0.95","364.75","367.75","364.45","365.70","208735","1.9122171E7","255090"
"2022/03/30 (주간)","101S6000","코스피200 F 202206","364.75","1.20","367.00","367.50","364.30","364.75","204336","1.8679692E7","253813"
"2022/03/29 (주간)","101S6000","코스피200 F 202206","363.55","1.10","364.30","365.45","362.25","363.55","180634","1.6409796E7","252202"
"2022/03/28 (주간)","101S6000","코스피200 F 202206","362.45","0.70","359.55","362.85","358.30","362.45","192322","1.7347952E7","254046"
"2022/03/25 (주간)","101S6000","코스피200 F 202206","361.75","-0.75","363.50","364.10","360.75","361.75","197460","1.7869183E7","254298"
"2022/03/24 (주간)","101S6000","코스피200 F 202206","362.50","-1.75","361.50","363.20","360.15","362.50","204761","1.8520483E7","253481"
"2022/03/23 (주간)","101S6000","코스피200 F 202206","364.25","2.85","363.60","366.40","362.70","364.25","201479","1.8356968E7","254151"
"2022/03/22 (주간)","101S6000","코스피200 F 202206","361.40","2.65","358.40","361.95","358.20","361.40","197044","1.7767361E7","253986"
"2022/03/21 (주간)","101S6000","코스피200 F 202206","358.75","-3.25","363.15","363.75","357.90","358.75","187328","1.6866942E7","252693"
"2022/03/18 (주간)","101S6000","코스피200 F 202206","362.00","0.25","360.15","362.45","359.20","362.00","226597","2.0436974E7","246893"
"2022/03/17 (주간)","101S6000","코스피200 F 202206","361.75","5.65","362.95","364.15","360.70","361.75","264976","2.40158E7","243821"
"2022/03/16 (주간)","101S6000","코스피200 F 202206","356.10","5.80","354.00","356.20","351.45","356.10","235052","2.0774667E7","246458"
"2022/03/15 (주간)","101S6000","코스피200 F 202206","350.30","-3.70","352.20","353.05","349.30","350.30","238650","2.0972669E7","251007"
"2022/03/14 (주간)","101S6000","코스피200 F 202206","354.00","-0.15","354.25","355.95","352.20","354.00","223247","1.9755001E7","245643"
"2022/03/11 (주간)","101S6000","코스피200 F 202206","354.15","-2.75","355.00","355.80","352.45","354.15","242653","2.1470899E7","244632"
"2022/03/10 (주간)","101S3000","코스피200 F 202203","355.45","7.55","356.90","358.00","355.05","355.45","149829","1.335963E7","0"
"2022/03/08 (주간)","101S3000","코스피200 F 202203","347.90","-4.90","347.35","352.35","346.60","347.90","293469","2.567977E7","126111"
"2022/03/07 (주간)","101S3000","코스피200 F 202203","352.80","-8.35","354.00","354.90","350.50","352.80","334248","2.9473803E7","212828"
"2022/03/04 (주간)","101S3000","코스피200 F 202203","361.15","-5.30","365.90","366.10","359.60","361.15","342990","3.0999184E7","256043"
"2022/03/03 (주간)","101S3000","코스피200 F 202203","366.45","6.25","363.00","367.30","362.70","366.45","235148","2.1495667E7","268787"
"2022/03/02 (주간)","101S3000","코스피200 F 202203","360.20","-1.00","362.00","362.75","359.60","360.20","267394","2.4127851E7","278998"
"2022/02/28 (주간)","101S3000","코스피200 F 202203","361.20","1.80","357.05","361.60","355.50","361.20","285206","2.5550377E7","279631"
"2022/02/25 (주간)","101S3000","코스피200 F 202203","359.40","5.00","358.00","360.80","356.90","359.40","291624","2.6153695E7","281083"
"2022/02/24 (주간)","101S3000","코스피200 F 202203","354.40","-9.65","359.45","360.60","353.60","354.40","438150","3.9054998E7","288529"
"2022/02/23 (주간)","101S3000","코스피200 F 202203","364.05","0.45","366.45","366.60","362.50","364.05","234230","2.1338958E7","274550"
"2022/02/22 (주간)","101S3000","코스피200 F 202203","363.60","-5.45","361.90","364.75","360.60","363.60","327838","2.9717526E7","273647"
"2022/02/21 (주간)","101S3000","코스피200 F 202203","369.05","0.65","362.40","369.05","360.80","369.05","301924","2.7573768E7","269995"
"2022/02/18 (주간)","101S3000","코스피200 F 202203","368.40","-1.80","366.25","369.45","364.65","368.40","301238","2.7663785E7","270674"
"2022/02/17 (주간)","101S3000","코스피200 F 202203","370.20","2.85","368.50","373.05","365.70","370.20","431387","3.9904469E7","271415"
"2022/02/16 (주간)","101S3000","코스피200 F 202203","367.35","6.80","364.85","367.65","364.50","367.35","221112","2.0240806E7","268557"
"2022/02/15 (주간)","101S3000","코스피200 F 202203","360.55","-3.10","363.90","364.70","358.90","360.55","284647","2.5758521E7","266269"
"2022/02/14 (주간)","101S3000","코스피200 F 202203","363.65","-4.35","365.00","365.95","360.30","363.65","308450","2.7978927E7","264105"
"2022/02/11 (주간)","101S3000","코스피200 F 202203","368.00","-3.75","368.45","370.80","366.30","368.00","295345","2.7205312E7","264857"
