,name,code
0,DL,000210
1,DRB동일,004840
2,DSR,155660
3,GS,078930
4,GS글로벌,001250
5,HDC랩스,039570
6,HMM,011200
7,KEC,092220
8,KG동부제철,016380
9,KG케미칼,001390
10,KPX케미칼,025000
11,KTis,058860
12,LG이노텍,011070
13,LG헬로비전,037560
14,LX하우시스,108670
15,MH에탄올,023150
16,NAVER,035420
17,OCI,010060
18,SK스퀘어,402340
19,SK이노베이션,096770
20,STX,011810
21,WISCOM,024070
22,갤럭시아에스엠,011420
23,경농,002100
24,경동인베스트,012320
25,국도화학,007690
26,국동,005320
27,극동유화,014530
28,남선알미늄,008350
29,노루페인트,090350
30,대덕전자,353200
31,대성산업,128820
32,대우건설,047040
33,대웅,003090
34,대원강업,000430
35,덴티움,145720
36,동아타이어,282690
37,롯데정보통신,286940
38,메리츠증권,008560
39,명문제약,017180
40,모두투어리츠,204210
41,보령제약,003850
42,부국증권,001270
43,삼성엔지니어링,028050
44,삼성전자,005930
45,삼성출판사,068290
46,삼양식품,003230
47,삼영화학공업,003720
48,삼호개발,010960
49,상상인증권,001290
50,선진,136490
51,세방전지,004490
52,신대양제지,016590
53,신도리코,029530
54,신한알파리츠,293940
55,신한지주,055550
56,쌍용자동차,003620
57,에이블씨엔씨,078520
58,영화금속,012280
59,오뚜기,007310
60,우진,105840
61,윌비스,008600
62,유나이티드,033270
63,인지컨트롤스,023800
64,인터지스,129260
65,일성건설,013360
66,일진다이아,081000
67,자화전자,033240
68,제일약품,271980
69,제일파마홀딩스,002620
70,조비,001550
71,종근당홀딩스,001630
72,지역난방공사,071320
73,진에어,272450
74,케이씨티시,009070
75,코오롱인더,120110
76,콤텍시스템,031820
77,키다리스튜디오,020120
78,태양금속공업,004100
79,포스코강판,058430
80,한국패러랠,168490
81,한샘,009240
82,한솔로지스틱스,009180
83,한일철강,002220
84,한창제지,009460
85,한화생명,088350
86,한화솔루션,009830
87,현대건설,000720
88,현대비앤지스틸,004560
89,현대엘리베이터,017800
90,현대자동차,005380
91,현대차증권,001500
92,호전실업,111110
93,CJ 바이오사이언스,311690
94,EDGC,245620
95,ES큐브,050120
96,IBKS제12호스팩,335870
97,IBKS제17호스팩,405350
98,ISC,095340
99,JW신약,067290
100,KB오토시스,024120
101,KH바텍,060720
102,KT서브마린,060370
103,PN풍년,024940
104,SCI평가정보,036120
105,TJ미디어,032540
106,강스템바이오텍,217730
107,경남제약,053950
108,경창산업,024910
109,교보9호스팩,331520
110,국순당,043650
111,국일제지,078130
112,그리티,204020
113,글로본,019660
114,까스텔바작,308100
115,나노브릭,286750
116,나래나노텍,137080
117,네오리진,094860
118,네오크레마,311390
119,네오티스,085910
120,네이처셀,007390
121,노랑풍선,104620
122,노블엠앤비,106520
123,농우바이오,054050
124,뉴인텍,012340
125,뉴트리,270870
126,다보링크,340360
127,대봉엘에스,078140
128,대유,290380
129,대유에이피,290120
130,대한약품,023910
131,동구바이오제약,006620
132,드림시큐리티,203650
133,디에이피,066900
134,디엔에이링크,127120
135,디지틀조선,033130
136,레몬,294140
137,룽투코리아,060240
138,링크제니시스,219420
139,메디포스트,078160
140,모비스,250060
141,모트렉스,118990
142,미래에셋대우스팩3호,328380
143,미코바이오메드,214610
144,바이오에프디엔씨,251120
145,베뉴지,019010
146,브랜드엑스코퍼레이션,337930
147,브이씨,365900
148,비씨엔씨,146320
149,삼보판지,023600
150,삼아제약,009300
151,삼일,032280
152,샘씨엔에스,252990
153,선진뷰티사이언스,086710
154,성도이엔지,037350
155,성창오토텍,080470
156,셀바스헬스케어,208370
157,슈피겐코리아,192440
158,스타플렉스,115570
159,스톤브릿지벤처스,330730
160,스페코,013810
161,시티랩스,139050
162,신영스팩6호,344050
163,쌍용정보통신,010280
164,씨씨에스,066790
165,씨케이에이치,900120
166,아스타,246720
167,아시아경제,127710
168,아이비김영,339950
169,아이센스,099190
170,아이씨케이,068940
171,아이윈,090150
172,아이즈비전,031310
173,아이컴포넌트,059100
174,아이티센,124500
175,알비더블유,361570
176,알에프세미,096610
177,알에프텍,061040
178,알파홀딩스,117670
179,애니플러스,310200
180,앤디포스,238090
181,앱클론,174900
182,어보브반도체,102120
183,에스아이리소스,065420
184,에스앤더블류,103230
185,에스에너지,095910
186,에스에이티이엔지,351320
187,에스에프에이,056190
188,에스피시스템스,317830
189,에쎈테크,043340
190,에이디테크놀로지,200710
