은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~2등급,3~4등급,5~6등급,7~8등급 ,9~10등급,평균금리,
BNK경남은행                             ,대출금리,3.52,3.50,3.47,3.59,-,3.51,
BNK부산은행                             ,대출금리,4.23,4.36,4.39,4.59,-,4.26,
DGB대구은행                             ,대출금리,4.07,4.12,4.15,4.23,4.22,4.12,
IBK기업은행                             ,대출금리,3.94,3.96,3.91,3.95,-,3.94,
KB국민은행                              ,대출금리,3.91,4.10,4.15,4.31,-,3.98,
KDB산업은행                             ,대출금리,-,-,-,-,-,-,
NH농협은행                              ,대출금리,4.30,4.32,4.24,-,-,4.30,
SH수협은행                              ,대출금리,3.53,3.74,4.11,3.40,-,3.77,
광주은행                                ,대출금리,4.28,4.17,4.07,4.01,5.02,4.29,
스탠다드차타드은행                      ,대출금리,3.89,3.87,3.93,-,-,3.87,
신한은행                                ,대출금리,3.90,3.96,4.13,4.26,4.03,3.92,
우리은행                                ,대출금리,4.27,4.33,4.45,4.74,5.59,4.33,
전북은행                                ,대출금리,4.09,4.25,4.19,4.16,4.41,4.15,
제주은행                                ,대출금리,4.05,3.89,4.03,4.01,4.66,3.97,
카카오뱅크                              ,대출금리,-,-,-,-,-,-,
케이뱅크                                ,대출금리,3.52,3.65,3.86,4.67,-,3.59,
토스뱅크                                ,대출금리,-,-,-,-,-,-,
하나은행                                ,대출금리,3.86,3.98,4.06,-,-,3.88,
한국씨티은행                            ,대출금리,3.54,-,-,-,-,3.54,
