은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~2등급,3~4등급,5~6등급,7~8등급 ,9~10등급,평균금리,
BNK경남은행                             ,대출금리,3.46,3.93,5.59,5.04,-,3.51,
BNK부산은행                             ,대출금리,4.27,4.73,5.81,6.95,-,4.47,
DGB대구은행                             ,대출금리,4.32,4.60,5.00,6.41,9.95,4.91,
IBK기업은행                             ,대출금리,4.29,4.91,5.99,6.92,9.50,4.37,
KB국민은행                              ,대출금리,4.31,5.38,6.54,8.03,-,4.52,
KDB산업은행                             ,대출금리,-,-,-,-,-,-,
NH농협은행                              ,대출금리,4.05,4.81,5.44,5.10,-,4.26,
SH수협은행                              ,대출금리,3.67,4.07,6.56,-,-,3.66,
광주은행                                ,대출금리,4.76,6.03,8.73,-,-,5.19,
스탠다드차타드은행                      ,대출금리,4.25,5.36,6.24,8.08,-,5.36,
신한은행                                ,대출금리,4.12,5.00,5.67,8.85,3.27,4.20,
우리은행                                ,대출금리,4.26,4.56,5.47,7.81,11.70,4.40,
전북은행                                ,대출금리,5.19,6.57,8.50,12.29,11.95,5.96,
제주은행                                ,대출금리,4.04,4.37,4.72,6.03,-,4.25,
카카오뱅크                              ,대출금리,-,4.86,6.01,8.48,-,6.12,
케이뱅크                                ,대출금리,4.81,5.38,6.44,9.60,11.65,5.40,
토스뱅크                                ,대출금리,3.96,4.79,7.35,11.93,-,4.37,
하나은행                                ,대출금리,4.16,4.80,5.15,6.80,-,4.36,
한국씨티은행                            ,대출금리,-,-,-,-,-,-,
