은행,구분,신용등급별 금리(%),,,,,,,참고사항
,,1~2등급,3~4등급,5~6등급,7~8등급 ,9~10등급,평균금리,서민금융제외평균금리,
BNK경남은행                             ,대출금리,3.52,5.02,5.83,7.38,11.17,4.13,4.00,
BNK부산은행                             ,대출금리,3.98,4.97,6.25,5.92,8.65,4.79,4.78,
DGB대구은행                             ,대출금리,4.15,4.79,5.56,6.19,8.27,5.49,5.20,
IBK기업은행                             ,대출금리,4.02,4.67,6.08,7.51,9.50,4.16,4.01,
KB국민은행                              ,대출금리,3.69,5.26,8.20,10.17,10.50,4.57,3.89,
KDB산업은행                             ,대출금리,-,-,-,-,-,-,-,
NH농협은행                              ,대출금리,3.74,4.84,6.72,6.66,13.00,4.23,3.96,
SH수협은행                              ,대출금리,3.62,4.76,9.49,10.50,-,4.38,3.92,
광주은행                                ,대출금리,4.72,6.36,7.57,8.77,8.23,6.73,6.72,
스탠다드차타드은행                      ,대출금리,3.66,4.43,5.62,7.70,9.25,5.51,5.31,
신한은행                                ,대출금리,3.92,5.28,6.94,9.83,12.15,4.56,4.10,
우리은행                                ,대출금리,3.95,4.40,5.40,8.25,11.86,4.23,4.00,
전북은행                                ,대출금리,5.41,6.30,7.65,9.26,9.40,7.53,7.55,"외국인 및 당행 서민자금, 중금리대출 제외시 3.88%"
제주은행                                ,대출금리,3.96,4.02,4.55,7.71,10.45,4.11,4.06,
카카오뱅크                              ,대출금리,-,4.83,6.43,9.00,14.17,7.58,10.06,
케이뱅크                                ,대출금리,4.50,5.25,6.29,10.20,12.79,6.12,6.12,
토스뱅크                                ,대출금리,4.19,5.97,9.49,13.26,-,5.66,5.66,
하나은행                                ,대출금리,3.55,4.79,6.32,8.09,11.79,4.47,3.86,
한국씨티은행                            ,대출금리,5.30,6.18,9.89,13.39,-,5.86,-,
