은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~2등급,3~4등급,5~6등급,7~8등급 ,9~10등급,평균금리,
BNK경남은행                             ,대출금리,3.07,3.20,-,-,-,3.18,
BNK부산은행                             ,대출금리,-,-,-,-,-,-,
DGB대구은행                             ,대출금리,3.74,4.11,3.81,4.07,-,3.93,
IBK기업은행                             ,대출금리,3.60,4.21,-,-,-,3.80,
KB국민은행                              ,대출금리,3.97,4.26,-,-,-,4.02,
KDB산업은행                             ,대출금리,-,-,-,-,-,-,
NH농협은행                              ,대출금리,4.51,-,-,-,-,4.51,
SH수협은행                              ,대출금리,3.49,-,-,-,-,3.49,
광주은행                                ,대출금리,4.02,4.04,-,-,-,4.02,
스탠다드차타드은행                      ,대출금리,-,-,-,-,-,-,
신한은행                                ,대출금리,3.48,3.46,3.82,6.74,-,3.54,
우리은행                                ,대출금리,3.28,3.47,3.55,3.29,-,3.37,
전북은행                                ,대출금리,-,-,4.44,-,-,4.44,
제주은행                                ,대출금리,-,-,-,-,-,-,
카카오뱅크                              ,대출금리,-,-,-,-,-,-,
케이뱅크                                ,대출금리,-,-,-,-,-,-,
토스뱅크                                ,대출금리,-,-,-,-,-,-,
하나은행                                ,대출금리,-,-,-,-,-,-,
한국씨티은행                            ,대출금리,-,-,-,-,-,-,
