은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.79,3.75,4.22,-,5.22,3.53,
BNK부산은행,대출금리,3.37,3.66,3.95,4.09,4.52,3.35,
DGB대구은행,대출금리,3.50,3.59,4.03,4.10,4.77,3.47,
IBK기업은행,대출금리,3.18,3.15,3.23,3.29,3.36,3.25,
KB국민은행,대출금리,3.32,3.52,4.55,5.24,5.42,3.37,
KDB산업은행,대출금리,-,-,-,-,-,2.54,
NH농협은행,대출금리,3.52,3.78,3.97,4.47,5.15,3.49,
SH수협은행,대출금리,3.33,3.30,3.73,-,-,3.63,
광주은행,대출금리,3.64,3.70,3.88,4.08,4.82,3.78,
스탠다드차타드은행,대출금리,-,3.09,3.09,3.32,3.45,3.15,
신한은행,대출금리,3.20,3.30,3.51,4.08,4.79,3.32,
우리은행,대출금리,3.32,3.58,3.95,4.60,6.56,3.34,
전북은행,대출금리,3.91,4.08,4.23,4.26,4.48,3.79,
제주은행,대출금리,3.86,3.93,4.20,4.89,7.49,3.92,
하나은행,대출금리,3.19,3.21,3.40,3.90,3.92,3.24,
한국씨티은행,대출금리,3.32,-,3.50,3.76,-,3.34,2022.02.15 부터 개인사업자  대출 신규 중단.
