은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,4.24,5.65,5.16,-,11.58,4.50,
BNK부산은행,대출금리,4.30,5.01,5.53,7.93,8.75,4.39,
DGB대구은행,대출금리,5.10,5.86,6.93,9.68,12.90,5.85,
IBK기업은행,대출금리,4.57,4.91,5.74,8.13,9.35,5.90,
KB국민은행,대출금리,4.08,5.49,7.65,10.89,9.53,4.51,
KDB산업은행,대출금리,-,-,-,-,-,4.10,
NH농협은행,대출금리,3.77,4.53,5.77,9.34,13.00,3.99,
SH수협은행,대출금리,3.85,-,-,-,-,4.63,
광주은행,대출금리,5.28,5.90,6.40,7.69,8.59,5.80,
스탠다드차타드은행,대출금리,-,-,-,-,-,-,
신한은행,대출금리,4.21,4.43,5.28,9.49,11.43,4.72,
우리은행,대출금리,4.23,4.78,6.14,8.20,12.23,5.02,
전북은행,대출금리,6.09,7.21,8.52,11.14,13.42,6.69,
제주은행,대출금리,4.48,4.84,6.00,9.34,-,5.12,
하나은행,대출금리,3.57,4.15,5.09,8.54,11.78,3.79,
한국씨티은행,대출금리,5.06,-,6.01,5.48,-,5.15,2022.02.15 부터 개인사업자  대출 신규 중단.
