은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.10,3.75,4.68,10.05,8.99,3.33,
BNK부산은행,대출금리,3.40,3.99,4.74,6.01,5.32,3.73,
DGB대구은행,대출금리,2.94,3.39,4.61,6.60,12.21,4.44,
IBK기업은행,대출금리,3.70,4.13,4.84,7.50,9.13,5.14,
KB국민은행,대출금리,3.46,4.11,6.80,9.69,6.60,3.86,
KDB산업은행,대출금리,-,-,-,-,-,3.50,
NH농협은행,대출금리,3.55,4.36,5.70,8.12,12.63,3.95,
SH수협은행,대출금리,-,4.12,-,-,-,4.50,
광주은행,대출금리,3.85,4.08,4.76,5.28,7.26,4.41,
스탠다드차타드은행,대출금리,-,-,-,-,6.03,5.73,
신한은행,대출금리,3.54,3.81,4.81,8.23,10.61,4.05,
우리은행,대출금리,3.66,4.50,5.90,8.14,12.07,4.56,
전북은행,대출금리,4.95,5.74,7.94,10.80,10.48,6.09,
제주은행,대출금리,4.02,4.48,6.13,8.28,13.45,4.92,
하나은행,대출금리,2.64,3.03,3.71,5.86,9.16,2.89,
한국씨티은행,대출금리,4.20,-,4.36,5.59,-,4.27,2022.02.15 부터 개인사업자  대출 신규 중단.
