은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,2.93,2.97,3.45,3.83,5.03,3.41,
BNK부산은행,대출금리,3.05,3.29,3.50,4.16,4.94,3.44,
DGB대구은행,대출금리,2.73,3.12,3.57,3.85,4.65,3.47,
IBK기업은행,대출금리,2.82,3.07,3.28,3.34,3.30,3.13,
KB국민은행,대출금리,2.83,3.09,3.38,4.88,5.30,3.33,
KDB산업은행,대출금리,2.53,2.67,2.87,3.19,3.11,2.72,
NH농협은행,대출금리,3.05,3.16,3.43,3.72,4.07,3.52,
SH수협은행,대출금리,3.64,3.78,3.90,3.72,3.68,3.70,
광주은행,대출금리,3.18,3.61,3.84,4.12,4.74,3.76,
스탠다드차타드은행,대출금리,-,2.96,3.06,2.93,3.44,3.09,
신한은행,대출금리,3.02,3.18,3.47,4.17,4.54,3.35,
우리은행,대출금리,3.06,3.19,3.46,4.68,4.40,3.35,
전북은행,대출금리,3.49,3.83,3.76,4.04,4.10,3.79,
제주은행,대출금리,3.71,3.78,3.92,4.17,6.14,4.04,
하나은행,대출금리,2.79,2.94,3.13,3.59,4.59,3.28,
한국씨티은행,대출금리,3.21,3.22,3.39,4.03,5.14,3.37,2022.02.15 부터 개인사업자 및 법인(매출액100억이하) 앞 신규 중단.
