은행,구분,보증비율별 금리(%),,,,,,참고사항
,,100.00%,90.00%,85.00%,80.00%,80%미만,평균금리,
BNK경남은행,대출금리,2.77,3.04,3.44,3.82,-,3.10,
BNK부산은행,대출금리,2.94,3.19,3.40,3.62,3.36,3.20,
DGB대구은행,대출금리,2.45,3.10,3.47,3.51,4.63,3.09,
IBK기업은행,대출금리,2.95,3.33,3.75,4.05,4.59,3.46,
KB국민은행,대출금리,2.54,3.56,3.86,4.22,3.96,3.43,
KDB산업은행,대출금리,1.69,3.08,3.01,3.15,-,2.95,
NH농협은행,대출금리,2.45,3.55,3.90,4.20,4.26,3.37,
SH수협은행,대출금리,3.10,3.39,3.72,4.51,-,3.49,
광주은행,대출금리,3.53,3.73,3.89,4.04,4.28,3.77,
스탠다드차타드은행,대출금리,2.70,3.97,4.21,4.11,-,3.66,
신한은행,대출금리,2.61,3.39,3.62,3.79,3.98,3.20,
우리은행,대출금리,2.21,3.31,3.62,3.66,3.95,3.10,
전북은행,대출금리,3.48,3.60,4.16,4.41,-,3.96,
제주은행,대출금리,4.03,3.85,4.03,5.38,4.21,3.98,
하나은행,대출금리,1.97,3.00,3.22,3.53,4.02,2.72,
한국씨티은행,대출금리,3.13,3.43,3.61,3.91,-,3.37,2022.02.15 부터 개인사업자 및 법인(매출액100억이하) 앞 신규 중단.
