,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,0,3,1,22.0,1,0,7.25,7,3
1,1,1,0,38.0,1,0,71.2833,2,0
2,1,3,0,26.0,0,0,7.925,7,3
3,1,1,0,35.0,1,0,53.1,2,3
4,0,3,1,35.0,0,0,8.05,7,3
5,0,3,1,29.69911764705882,0,0,8.4583,7,2
6,0,1,1,54.0,0,0,51.8625,4,3
7,0,3,1,2.0,3,1,21.075,7,3
8,1,3,0,27.0,0,2,11.1333,7,3
9,1,2,0,14.0,1,0,30.0708,7,0
10,1,3,0,4.0,1,1,16.7,6,3
11,1,1,0,58.0,0,0,26.55,2,3
12,0,3,1,20.0,0,0,8.05,7,3
13,0,3,1,39.0,1,5,31.275,7,3
14,0,3,0,14.0,0,0,7.8542,7,3
15,1,2,0,55.0,0,0,16.0,7,3
16,0,3,1,2.0,4,1,29.125,7,2
17,1,2,1,29.69911764705882,0,0,13.0,7,3
18,0,3,0,31.0,1,0,18.0,7,3
19,1,3,0,29.69911764705882,0,0,7.225,7,0
20,0,2,1,35.0,0,0,26.0,7,3
21,1,2,1,34.0,0,0,13.0,3,3
22,1,3,0,15.0,0,0,8.0292,7,2
23,1,1,1,28.0,0,0,35.5,0,3
24,0,3,0,8.0,3,1,21.075,7,3
25,1,3,0,38.0,1,5,31.3875,7,3
26,0,3,1,29.69911764705882,0,0,7.225,7,0
27,0,1,1,19.0,3,2,263.0,2,3
28,1,3,0,29.69911764705882,0,0,7.8792,7,2
29,0,3,1,29.69911764705882,0,0,7.8958,7,3
30,0,1,1,40.0,0,0,27.7208,7,0
31,1,1,0,29.69911764705882,1,0,146.5208,1,0
32,1,3,0,29.69911764705882,0,0,7.75,7,2
33,0,2,1,66.0,0,0,10.5,7,3
34,0,1,1,28.0,1,0,82.1708,7,0
35,0,1,1,42.0,1,0,52.0,7,3
36,1,3,1,29.69911764705882,0,0,7.2292,7,0
37,0,3,1,21.0,0,0,8.05,7,3
38,0,3,0,18.0,2,0,18.0,7,3
39,1,3,0,14.0,1,0,11.2417,7,0
40,0,3,0,40.0,1,0,9.475,7,3
41,0,2,0,27.0,1,0,21.0,7,3
42,0,3,1,29.69911764705882,0,0,7.8958,7,0
